|"cod_pessoa|data_coleta|genero|data_nascimento|animal_estimacao|clima|bebida_favorita|hobbies"
1|"10143179|2020-03-08|Masculino|1990-10-06|tartaruga|frio|Água|Escrever"
0|"10142134|2020-02-28|Masculino|1994-01-17|cachorro|quente|Café|Aprender algo novo"
1|"10143055|2020-02-28|Masculino|1973-08-30|cachorro|frio|Cerveja|Pintar quadros"
2|"10143458|2020-02-28|Feminino|1953-06-16|gato|moderado|Água|Ler livros"
3|"10143476|2020-02-28|Feminino|1973-09-08|peixe|frio|refrigerante|Pintar quadros"
4|"10143482|2020-02-28|Masculino|1968-06-19|cachorro|moderado|Cerveja|Assistir TV"
5|"10143507|2020-02-28|Feminino|1979-08-30|cachorro|quente|Chá|Pintar quadros"
6|"10143586|2020-02-28|Feminino|1950-04-10|gato|quente|Cerveja|Dormir"
0|"10141626|2020-12-10|Feminino|1998-05-24|gato|frio|Café|Dormir"
1|"10141652|2020-12-10|Feminino|1954-01-26|cachorro|moderado|refrigerante|Pintar quadros"
2|"10142058|2020-12-10|Masculino|1988-10-29|gato|quente|refrigerante|Assistir TV"
3|"10143082|2020-12-10|Masculino|1980-10-23|peixe|quente|Cerveja|Pintar quadros"
4|"10143626|2020-12-10|Masculino|1956-09-08|gato|quente|refrigerante|Ler livros"
0|"10142230|2020-10-10|Masculino|1989-12-15|tartaruga|moderado|Cerveja|Escutar música"
1|"10143202|2020-10-10|Masculino|1963-03-27|gato|moderado|Café|Aprender algo novo"
0|"10141738|2020-07-05|Feminino|1991-08-17|gato|quente|Cerveja|Praticar esporte"
1|"10142478|2020-07-05|Masculino|1966-12-24|tartaruga|frio|refrigerante|Escrever"
2|"10143310|2020-07-05|Feminino|1991-08-13|peixe|frio|Vinho|Ler livros"
3|"10143448|2020-07-05|Feminino|1979-10-15|gato|quente|Cerveja|Pintar quadros"
0|"10141857|2020-08-13|Feminino|1989-12-29|cachorro|moderado|Vinho|Aprender algo novo"
1|"10141930|2020-08-13|Feminino|1986-07-07|gato|moderado|Café|Assistir TV"
2|"10142285|2020-08-13|Feminino|1958-09-28|gato|moderado|Vinho|Escrever"
3|"10143222|2020-08-13|Masculino|1962-04-20|gato|frio|Café|Aprender algo novo"
0|"10141849|2020-11-02|Feminino|1999-10-13|tartaruga|frio|Chá|Aprender algo novo"
1|"10142096|2020-11-02|Feminino|1974-06-28|cachorro|quente|Chá|Assistir TV"
2|"10142258|2020-11-02|Masculino|1971-01-17|cachorro|quente|Cerveja|Escrever"
3|"10142771|2020-11-02|Masculino|1971-06-15|tartaruga|frio|Chá|Ler livros"
4|"10142934|2020-11-02|Masculino|1967-11-05|gato|quente|Cerveja|Aprender algo novo"
5|"10143354|2020-11-02|Masculino|1996-04-23|gato|frio|refrigerante|Escutar música"
6|"10143444|2020-11-02|Feminino|1961-01-10|cachorro|moderado|Café|Dormir"
7|"10143518|2020-11-02|Masculino|1993-04-20|tartaruga|moderado|Vinho|Escutar música"
0|"10141535|2020-08-22|Feminino|1957-07-25|cachorro|quente|refrigerante|Assistir TV"
1|"10142449|2020-08-22|Masculino|1969-12-09|cachorro|moderado|Cerveja|Aprender algo novo"
2|"10142735|2020-08-22|Masculino|1978-11-15|peixe|moderado|Café|Ler livros"
3|"10143016|2020-08-22|Masculino|1988-12-20|tartaruga|moderado|Chá|Praticar esporte"
4|"10143094|2020-08-22|Masculino|1980-05-22|tartaruga|quente|Chá|Escrever"
5|"10143232|2020-08-22|Masculino|1960-01-13|tartaruga|quente|refrigerante|Ler livros"
0|"10141639|2020-08-23|Feminino|1992-08-07|gato|frio|Água|Assistir TV"
1|"10141736|2020-08-23|Feminino|1973-11-29|cachorro|quente|Água|Dormir"
2|"10142718|2020-08-23|Masculino|1987-12-11|cachorro|moderado|refrigerante|Escrever"
3|"10143387|2020-08-23|Masculino|1956-10-21|tartaruga|frio|refrigerante|Pintar quadros"
4|"10143443|2020-08-23|Feminino|1992-10-20|cachorro|quente|Cerveja|Pintar quadros"
0|"10141646|2020-07-04|Feminino|1950-05-09|tartaruga|frio|Água|Escrever"
1|"10141794|2020-07-04|Feminino|1996-04-16|tartaruga|frio|Café|Assistir TV"
2|"10141954|2020-07-04|Feminino|1961-02-17|tartaruga|quente|refrigerante|Aprender algo novo"
3|"10142100|2020-07-04|Feminino|1951-05-06|tartaruga|quente|Café|Escrever"
4|"10142129|2020-07-04|Feminino|1982-11-10|peixe|frio|Café|Aprender algo novo"
5|"10142800|2020-07-04|Masculino|1993-02-08|cachorro|moderado|Vinho|Aprender algo novo"
6|"10143147|2020-07-04|Feminino|1950-01-26|cachorro|quente|Cerveja|Pintar quadros"
7|"10143574|2020-07-04|Masculino|1966-12-01|gato|frio|Água|Aprender algo novo"
0|"10142644|2020-10-16|Feminino|1999-09-22|gato|frio|refrigerante|Ler livros"
1|"10142843|2020-10-16|Masculino|1992-02-10|peixe|quente|Chá|Aprender algo novo"
0|"10141618|2020-10-29|Feminino|1978-05-18|peixe|frio|Chá|Ler livros"
1|"10141889|2020-10-29|Feminino|1975-07-10|peixe|quente|refrigerante|Ler livros"
2|"10142235|2020-10-29|Masculino|1988-04-02|peixe|quente|Vinho|Aprender algo novo"
3|"10142807|2020-10-29|Masculino|1989-07-28|tartaruga|frio|Água|Ler livros"
4|"10143036|2020-10-29|Masculino|1990-02-10|cachorro|quente|Vinho|Aprender algo novo"
5|"10143575|2020-10-29|Masculino|1984-05-26|gato|quente|Água|Escutar música"
0|"10141755|2020-07-06|Masculino|1985-11-03|peixe|moderado|Cerveja|Ler livros"
1|"10142805|2020-07-06|Masculino|1957-03-04|gato|moderado|Cerveja|Dormir"
0|"10141748|2020-09-07|Feminino|1969-04-16|peixe|quente|Café|Praticar esporte"
1|"10141951|2020-09-07|Feminino|1988-01-29|peixe|frio|Café|Dormir"
2|"10142327|2020-09-07|Masculino|1959-11-05|peixe|frio|Chá|Pintar quadros"
3|"10142900|2020-09-07|Masculino|1963-12-21|peixe|moderado|Chá|Pintar quadros"
4|"10143043|2020-09-07|Masculino|1974-10-11|peixe|moderado|refrigerante|Assistir TV"
5|"10143275|2020-09-07|Feminino|1970-07-17|cachorro|frio|refrigerante|Escrever"
6|"10143411|2020-09-07|Feminino|1995-05-03|gato|quente|Vinho|Escrever"
7|"10143499|2020-09-07|Feminino|1997-09-19|tartaruga|moderado|Chá|Escrever"
8|"10143515|2020-09-07|Masculino|1957-09-02|gato|frio|Vinho|Praticar esporte"
0|"10142398|2020-06-17|Masculino|1998-12-01|gato|moderado|Cerveja|Escutar música"
1|"10142896|2020-06-17|Masculino|1966-03-10|gato|moderado|Cerveja|Assistir TV"
2|"10143412|2020-06-17|Masculino|1988-08-30|gato|quente|Água|Escrever"
3|"10143428|2020-06-17|Masculino|1995-01-07|cachorro|quente|Vinho|Ler livros"
0|"10142194|2020-03-03|Masculino|1962-09-24|peixe|frio|refrigerante|Ler livros"
1|"10142783|2020-03-03|Masculino|1980-03-05|gato|frio|refrigerante|Escrever"
2|"10142932|2020-03-03|Masculino|1982-04-19|tartaruga|moderado|Café|Escrever"
3|"10143340|2020-03-03|Feminino|1959-02-21|cachorro|frio|Café|Aprender algo novo"
4|"10143430|2020-03-03|Masculino|1959-08-06|peixe|moderado|Café|Pintar quadros"
5|"10143474|2020-03-03|Feminino|1956-03-04|tartaruga|moderado|Vinho|Escrever"
6|"10143609|2020-03-03|Masculino|1988-01-01|gato|moderado|Cerveja|Praticar esporte"
0|"10141792|2020-01-25|Feminino|1988-12-04|cachorro|frio|Água|Praticar esporte"
1|"10142112|2020-01-25|Masculino|1997-07-07|gato|quente|refrigerante|Ler livros"
2|"10142388|2020-01-25|Masculino|1984-09-09|tartaruga|moderado|Cerveja|Dormir"
3|"10142876|2020-01-25|Masculino|1983-03-04|gato|frio|Café|Praticar esporte"
4|"10142990|2020-01-25|Masculino|1964-04-23|cachorro|quente|Cerveja|Dormir"
5|"10143163|2020-01-25|Feminino|1970-03-08|tartaruga|quente|Cerveja|Aprender algo novo"
0|"10141641|2020-06-05|Feminino|1968-06-04|gato|frio|Água|Aprender algo novo"
1|"10141787|2020-06-05|Feminino|1998-04-10|gato|frio|Vinho|Pintar quadros"
2|"10142697|2020-06-05|Masculino|1953-03-14|peixe|moderado|Café|Escrever"
3|"10142866|2020-06-05|Masculino|1990-07-18|gato|frio|Cerveja|Ler livros"
4|"10143174|2020-06-05|Masculino|1967-02-11|peixe|quente|Vinho|Pintar quadros"
5|"10143386|2020-06-05|Masculino|1971-02-06|gato|moderado|Água|Escutar música"
0|"10141805|2020-04-01|Feminino|1990-12-08|gato|quente|Vinho|Escutar música"
1|"10141957|2020-04-01|Feminino|1985-05-13|gato|moderado|refrigerante|Escrever"
2|"10142493|2020-04-01|Masculino|1974-12-21|tartaruga|frio|Café|Aprender algo novo"
0|"10141933|2020-03-10|Feminino|1962-09-06|gato|quente|Chá|Pintar quadros"
1|"10141975|2020-03-10|Feminino|1990-07-29|tartaruga|moderado|Chá|Assistir TV"
2|"10142050|2020-03-10|Masculino|1950-11-20|cachorro|frio|Chá|Dormir"
3|"10142465|2020-03-10|Masculino|1998-10-15|peixe|frio|Cerveja|Escutar música"
4|"10142594|2020-03-10|Masculino|1997-10-07|gato|quente|Cerveja|Pintar quadros"
5|"10142781|2020-03-10|Masculino|1972-03-29|gato|moderado|Cerveja|Pintar quadros"
6|"10142785|2020-03-10|Masculino|1996-09-20|tartaruga|quente|refrigerante|Dormir"
7|"10143085|2020-03-10|Masculino|1974-04-12|gato|quente|Café|Escutar música"
8|"10143416|2020-03-10|Masculino|1982-12-10|peixe|moderado|Chá|Assistir TV"
9|"10143457|2020-03-10|Feminino|1963-05-27|cachorro|frio|Chá|Ler livros"
0|"10141561|2020-07-26|Feminino|1959-11-06|tartaruga|quente|Cerveja|Escrever"
1|"10141655|2020-07-26|Feminino|1950-05-04|peixe|quente|Cerveja|Aprender algo novo"
2|"10142103|2020-07-26|Feminino|1999-01-28|cachorro|moderado|refrigerante|Escutar música"
3|"10142298|2020-07-26|Masculino|1988-04-18|gato|quente|Café|Ler livros"
4|"10142707|2020-07-26|Masculino|1950-09-11|tartaruga|moderado|Café|Escrever"
5|"10142798|2020-07-26|Masculino|1984-12-14|gato|moderado|refrigerante|Pintar quadros"
6|"10142966|2020-07-26|Masculino|1978-08-21|tartaruga|frio|Cerveja|Assistir TV"
7|"10143144|2020-07-26|Feminino|1993-09-04|cachorro|quente|Água|Aprender algo novo"
0|"10141582|2020-01-17|Feminino|1998-09-13|gato|moderado|Café|Ler livros"
1|"10142028|2020-01-17|Feminino|1967-02-19|gato|quente|Cerveja|Praticar esporte"
2|"10142452|2020-01-17|Masculino|1984-09-24|tartaruga|frio|Chá|Dormir"
3|"10143075|2020-01-17|Masculino|1974-06-16|gato|moderado|Água|Assistir TV"
4|"10143273|2020-01-17|Feminino|1983-01-04|gato|quente|refrigerante|Dormir"
5|"10143371|2020-01-17|Masculino|1995-03-06|gato|moderado|Vinho|Assistir TV"
0|"10142116|2020-03-11|Masculino|1961-08-14|cachorro|moderado|Cerveja|Dormir"
1|"10142128|2020-03-11|Masculino|1983-04-08|tartaruga|moderado|Café|Pintar quadros"
2|"10142424|2020-03-11|Masculino|1974-05-28|gato|frio|Vinho|Aprender algo novo"
3|"10143415|2020-03-11|Masculino|1992-12-08|gato|quente|refrigerante|Pintar quadros"
0|"10141700|2020-11-15|Masculino|1971-10-23|cachorro|quente|Cerveja|Assistir TV"
1|"10141757|2020-11-15|Masculino|1966-12-04|tartaruga|moderado|Água|Praticar esporte"
2|"10141972|2020-11-15|Masculino|1998-08-10|gato|frio|Chá|Aprender algo novo"
3|"10142060|2020-11-15|Feminino|1995-12-05|gato|quente|Cerveja|Ler livros"
4|"10142623|2020-11-15|Feminino|1970-06-28|cachorro|frio|Água|Aprender algo novo"
5|"10142831|2020-11-15|Masculino|1995-11-12|cachorro|moderado|Água|Ler livros"
6|"10142852|2020-11-15|Masculino|1990-11-20|gato|moderado|Café|Pintar quadros"
7|"10143072|2020-11-15|Masculino|1977-01-29|gato|quente|Vinho|Pintar quadros"
8|"10143219|2020-11-15|Masculino|1966-02-20|gato|frio|Café|Praticar esporte"
9|"10143350|2020-11-15|Masculino|1972-01-11|gato|moderado|refrigerante|Pintar quadros"
10|"10143562|2020-11-15|Masculino|1961-10-04|peixe|quente|Café|Praticar esporte"
0|"10141765|2020-12-27|Masculino|1971-11-05|cachorro|moderado|Água|Ler livros"
1|"10141820|2020-12-27|Feminino|1988-05-30|gato|quente|Chá|Praticar esporte"
2|"10142126|2020-12-27|Masculino|1965-11-11|tartaruga|quente|Cerveja|Assistir TV"
3|"10142267|2020-12-27|Masculino|1962-03-29|gato|moderado|Café|Pintar quadros"
4|"10142664|2020-12-27|Masculino|1971-12-31|cachorro|quente|refrigerante|Assistir TV"
5|"10142727|2020-12-27|Masculino|1990-12-14|tartaruga|moderado|Vinho|Escrever"
6|"10143345|2020-12-27|Feminino|1994-10-17|peixe|quente|Vinho|Aprender algo novo"
7|"10143460|2020-12-27|Masculino|1993-02-22|gato|quente|Vinho|Assistir TV"
0|"10142186|2020-02-08|Masculino|1999-06-14|gato|moderado|Café|Dormir"
1|"10142497|2020-02-08|Masculino|1950-05-14|cachorro|moderado|Café|Aprender algo novo"
2|"10142587|2020-02-08|Masculino|1987-01-22|peixe|frio|Chá|Assistir TV"
3|"10142652|2020-02-08|Masculino|1966-11-04|cachorro|moderado|Cerveja|Aprender algo novo"
4|"10142655|2020-02-08|Feminino|1964-02-04|tartaruga|quente|Chá|Pintar quadros"
5|"10143056|2020-02-08|Masculino|1976-12-09|gato|frio|Cerveja|Aprender algo novo"
0|"10141739|2020-04-30|Masculino|1952-03-06|cachorro|quente|refrigerante|Assistir TV"
1|"10142419|2020-04-30|Masculino|1969-03-11|gato|quente|refrigerante|Ler livros"
2|"10142660|2020-04-30|Masculino|1993-06-14|gato|quente|Água|Praticar esporte"
3|"10142967|2020-04-30|Masculino|1972-01-01|peixe|quente|Chá|Pintar quadros"
4|"10143305|2020-04-30|Masculino|1958-11-29|tartaruga|quente|Cerveja|Dormir"
5|"10143542|2020-04-30|Masculino|1988-10-29|tartaruga|quente|Cerveja|Assistir TV"
6|"10143587|2020-04-30|Masculino|1984-08-02|peixe|moderado|Café|Escutar música"
0|"10142412|2020-12-04|Masculino|1963-08-01|gato|moderado|Café|Pintar quadros"
1|"10142999|2020-12-04|Masculino|1972-10-25|cachorro|frio|Vinho|Escrever"
2|"10143121|2020-12-04|Masculino|1982-01-19|cachorro|frio|Café|Escrever"
3|"10143161|2020-12-04|Feminino|1979-08-20|peixe|moderado|Vinho|Pintar quadros"
4|"10143195|2020-12-04|Masculino|1991-09-06|peixe|frio|Café|Escrever"
0|"10141528|2020-02-06|Masculino|1952-05-09|gato|moderado|refrigerante|Escutar música"
1|"10141668|2020-02-06|Feminino|1993-02-20|gato|frio|Café|Dormir"
2|"10141780|2020-02-06|Feminino|1999-08-10|gato|quente|Cerveja|Assistir TV"
3|"10142620|2020-02-06|Feminino|1957-03-10|cachorro|moderado|Café|Aprender algo novo"
4|"10143298|2020-02-06|Masculino|1964-04-20|cachorro|frio|Café|Escutar música"
5|"10143365|2020-02-06|Feminino|1982-07-29|cachorro|quente|Cerveja|Escrever"
0|"10141553|2020-12-09|Feminino|1987-02-15|gato|frio|Vinho|Ler livros"
1|"10142215|2020-12-09|Masculino|1953-12-01|gato|moderado|refrigerante|Assistir TV"
2|"10143288|2020-12-09|Masculino|1986-08-02|gato|moderado|refrigerante|Ler livros"
3|"10143577|2020-12-09|Masculino|1970-11-16|tartaruga|moderado|Vinho|Praticar esporte"
0|"10141848|2020-06-01|Masculino|1979-10-31|peixe|moderado|Água|Ler livros"
1|"10141981|2020-06-01|Feminino|1983-10-28|gato|frio|Cerveja|Escutar música"
2|"10142011|2020-06-01|Feminino|1979-04-12|cachorro|frio|Chá|Praticar esporte"
3|"10142170|2020-06-01|Masculino|1953-01-13|gato|frio|Café|Ler livros"
4|"10142300|2020-06-01|Masculino|1974-03-17|cachorro|frio|Cerveja|Escutar música"
5|"10142728|2020-06-01|Masculino|1959-08-24|peixe|moderado|Chá|Escrever"
6|"10142870|2020-06-01|Masculino|1970-03-07|cachorro|frio|Água|Aprender algo novo"
0|"10141743|2020-01-01|Masculino|1981-04-25|peixe|frio|Cerveja|Praticar esporte"
1|"10141860|2020-01-01|Feminino|1966-01-19|peixe|quente|Café|Assistir TV"
2|"10142548|2020-01-01|Masculino|1973-08-02|tartaruga|frio|Café|Ler livros"
3|"10142591|2020-01-01|Masculino|1997-03-05|gato|moderado|Cerveja|Aprender algo novo"
4|"10142654|2020-01-01|Feminino|1969-08-05|tartaruga|moderado|Café|Assistir TV"
0|"10141650|2020-01-22|Feminino|1966-05-20|gato|quente|Água|Escutar música"
1|"10142470|2020-01-22|Masculino|1963-09-10|gato|frio|Água|Ler livros"
2|"10142508|2020-01-22|Masculino|1984-08-21|tartaruga|quente|Cerveja|Escrever"
3|"10143046|2020-01-22|Masculino|1994-02-07|tartaruga|frio|Cerveja|Escrever"
4|"10143133|2020-01-22|Feminino|1973-12-23|cachorro|quente|Cerveja|Praticar esporte"
5|"10143543|2020-01-22|Masculino|1982-06-25|peixe|frio|Vinho|Escrever"
0|"10141810|2020-05-20|Masculino|1953-10-26|cachorro|frio|Vinho|Dormir"
1|"10142363|2020-05-20|Masculino|1978-06-27|gato|quente|Água|Dormir"
2|"10142406|2020-05-20|Masculino|1956-02-13|cachorro|frio|Chá|Pintar quadros"
3|"10143319|2020-05-20|Masculino|1994-02-09|gato|moderado|Chá|Dormir"
0|"10141596|2020-04-20|Feminino|1960-03-24|cachorro|frio|Água|Aprender algo novo"
1|"10142021|2020-04-20|Feminino|1961-01-28|gato|quente|Café|Escutar música"
2|"10142133|2020-04-20|Masculino|1971-10-27|gato|quente|Vinho|Assistir TV"
3|"10142445|2020-04-20|Masculino|1976-10-01|gato|quente|Água|Ler livros"
4|"10142635|2020-04-20|Feminino|1953-04-05|peixe|frio|Café|Dormir"
5|"10142694|2020-04-20|Masculino|1993-08-06|gato|frio|Café|Pintar quadros"
6|"10143166|2020-04-20|Feminino|1960-12-14|gato|quente|Água|Praticar esporte"
0|"10141645|2020-08-25|Feminino|1978-12-02|gato|frio|Café|Dormir"
1|"10141785|2020-08-25|Feminino|1967-07-21|gato|frio|Chá|Escrever"
2|"10142153|2020-08-25|Masculino|1966-07-07|peixe|moderado|refrigerante|Aprender algo novo"
3|"10142853|2020-08-25|Masculino|1970-09-28|gato|frio|Cerveja|Assistir TV"
4|"10143459|2020-08-25|Feminino|1987-12-08|gato|frio|Café|Ler livros"
0|"10141904|2020-10-26|Feminino|1971-11-11|gato|frio|Vinho|Escutar música"
1|"10142747|2020-10-26|Masculino|1961-07-28|gato|quente|Cerveja|Assistir TV"
2|"10143029|2020-10-26|Masculino|1956-04-27|gato|frio|refrigerante|Dormir"
3|"10143357|2020-10-26|Feminino|1953-01-07|tartaruga|moderado|Vinho|Praticar esporte"
0|"10141750|2020-02-14|Masculino|1992-07-12|tartaruga|quente|refrigerante|Aprender algo novo"
1|"10142305|2020-02-14|Masculino|1983-02-06|cachorro|moderado|Vinho|Escutar música"
2|"10142788|2020-02-14|Masculino|1996-12-02|cachorro|moderado|Cerveja|Assistir TV"
3|"10142890|2020-02-14|Masculino|1954-10-05|tartaruga|quente|Cerveja|Assistir TV"
0|"10141556|2020-03-01|Feminino|1975-11-28|peixe|frio|Café|Pintar quadros"
1|"10141593|2020-03-01|Feminino|1970-11-04|gato|quente|Chá|Assistir TV"
2|"10143115|2020-03-01|Masculino|1986-03-19|tartaruga|quente|Água|Escutar música"
0|"10142489|2020-05-07|Masculino|1974-10-27|tartaruga|frio|Café|Assistir TV"
1|"10143003|2020-05-07|Masculino|1985-12-10|peixe|quente|refrigerante|Dormir"
2|"10143328|2020-05-07|Masculino|1998-05-13|gato|moderado|Cerveja|Praticar esporte"
0|"10142029|2020-11-17|Feminino|1977-09-16|tartaruga|moderado|refrigerante|Escrever"
1|"10142105|2020-11-17|Masculino|1950-09-05|tartaruga|frio|Cerveja|Dormir"
2|"10142302|2020-11-17|Masculino|1969-04-18|gato|quente|Chá|Ler livros"
3|"10142334|2020-11-17|Masculino|1973-09-02|gato|frio|Cerveja|Escrever"
4|"10142606|2020-11-17|Feminino|1950-07-29|gato|frio|Vinho|Praticar esporte"
5|"10142888|2020-11-17|Masculino|1985-02-07|gato|moderado|Água|Aprender algo novo"
6|"10142994|2020-11-17|Masculino|1975-09-29|gato|quente|Cerveja|Aprender algo novo"
0|"10141692|2020-10-28|Masculino|1992-02-25|peixe|moderado|Chá|Escutar música"
1|"10141872|2020-10-28|Feminino|1961-12-11|tartaruga|moderado|Vinho|Escutar música"
2|"10142022|2020-10-28|Feminino|1989-02-13|cachorro|moderado|Chá|Ler livros"
3|"10142407|2020-10-28|Masculino|1976-04-07|peixe|frio|Água|Escrever"
4|"10142622|2020-10-28|Feminino|1957-08-10|tartaruga|frio|Cerveja|Dormir"
5|"10142904|2020-10-28|Masculino|1967-04-20|gato|moderado|Cerveja|Escrever"
6|"10143500|2020-10-28|Masculino|1987-12-06|gato|quente|Cerveja|Ler livros"
0|"10142361|2020-05-30|Masculino|1950-09-24|gato|moderado|Cerveja|Assistir TV"
1|"10142952|2020-05-30|Masculino|1992-07-01|peixe|moderado|Cerveja|Aprender algo novo"
2|"10143426|2020-05-30|Masculino|1986-08-08|tartaruga|frio|Água|Praticar esporte"
0|"10141663|2020-06-18|Masculino|1950-03-23|gato|frio|Café|Escrever"
1|"10142359|2020-06-18|Masculino|1990-11-14|peixe|frio|Água|Escrever"
2|"10142366|2020-06-18|Masculino|1967-04-26|gato|moderado|Chá|Praticar esporte"
3|"10142865|2020-06-18|Masculino|1957-06-11|gato|quente|Cerveja|Aprender algo novo"
0|"10141712|2020-01-03|Masculino|1951-08-13|peixe|moderado|Chá|Praticar esporte"
1|"10141987|2020-01-03|Feminino|1978-04-23|cachorro|frio|Chá|Escrever"
2|"10142093|2020-01-03|Masculino|1986-09-03|gato|frio|refrigerante|Pintar quadros"
3|"10142325|2020-01-03|Masculino|1965-10-18|gato|quente|refrigerante|Dormir"
4|"10142552|2020-01-03|Masculino|1982-06-27|tartaruga|quente|Café|Assistir TV"
5|"10142598|2020-01-03|Masculino|1953-09-27|cachorro|moderado|Café|Ler livros"
6|"10143013|2020-01-03|Masculino|1959-04-01|gato|frio|Água|Assistir TV"
0|"10141816|2020-11-01|Feminino|1965-04-28|gato|moderado|Cerveja|Escutar música"
1|"10142198|2020-11-01|Masculino|1980-10-06|cachorro|quente|Água|Dormir"
2|"10143498|2020-11-01|Feminino|1953-01-03|tartaruga|quente|Água|Pintar quadros"
0|"10141884|2020-07-03|Feminino|1991-01-30|peixe|frio|Cerveja|Dormir"
1|"10141920|2020-07-03|Feminino|1956-10-05|gato|frio|Café|Assistir TV"
2|"10142076|2020-07-03|Masculino|1998-08-24|peixe|quente|Chá|Assistir TV"
0|"10141583|2020-04-23|Feminino|1956-10-01|tartaruga|frio|Chá|Assistir TV"
1|"10141657|2020-04-23|Feminino|1987-08-08|gato|frio|Cerveja|Escrever"
2|"10141793|2020-04-23|Feminino|1953-08-22|tartaruga|quente|refrigerante|Escutar música"
3|"10142364|2020-04-23|Masculino|1985-12-22|gato|moderado|Café|Assistir TV"
4|"10142879|2020-04-23|Masculino|1998-08-03|cachorro|moderado|Café|Assistir TV"
5|"10142892|2020-04-23|Masculino|1980-03-18|tartaruga|quente|Vinho|Dormir"
6|"10143407|2020-04-23|Feminino|1975-04-03|gato|frio|Chá|Escrever"
7|"10143591|2020-04-23|Feminino|1988-04-21|peixe|moderado|Chá|Ler livros"
0|"10142049|2020-04-15|Masculino|1978-07-22|tartaruga|quente|Cerveja|Aprender algo novo"
1|"10142196|2020-04-15|Masculino|1969-08-16|peixe|frio|Cerveja|Ler livros"
2|"10142328|2020-04-15|Masculino|1978-09-05|gato|quente|refrigerante|Ler livros"
3|"10142647|2020-04-15|Feminino|1989-05-17|cachorro|moderado|refrigerante|Escrever"
4|"10142686|2020-04-15|Masculino|1956-10-22|peixe|quente|Café|Praticar esporte"
5|"10143139|2020-04-15|Feminino|1957-06-15|gato|moderado|Café|Dormir"
0|"10141723|2020-04-08|Feminino|1954-08-16|cachorro|moderado|Cerveja|Praticar esporte"
1|"10141936|2020-04-08|Feminino|1956-10-10|cachorro|quente|Chá|Assistir TV"
2|"10142075|2020-04-08|Masculino|1976-04-30|gato|moderado|refrigerante|Aprender algo novo"
3|"10142086|2020-04-08|Feminino|1970-12-24|cachorro|moderado|Café|Assistir TV"
4|"10142809|2020-04-08|Masculino|1986-04-06|gato|moderado|refrigerante|Aprender algo novo"
0|"10142185|2020-12-25|Masculino|1991-01-09|tartaruga|moderado|Água|Escutar música"
1|"10142227|2020-12-25|Masculino|1989-03-29|peixe|moderado|Vinho|Dormir"
2|"10143558|2020-12-25|Masculino|1952-05-11|tartaruga|quente|Vinho|Escutar música"
0|"10141856|2020-03-22|Feminino|1983-02-11|peixe|quente|Água|Aprender algo novo"
1|"10141895|2020-03-22|Feminino|1954-08-24|cachorro|moderado|Água|Pintar quadros"
2|"10143041|2020-03-22|Masculino|1959-08-01|gato|moderado|Café|Pintar quadros"
3|"10143359|2020-03-22|Masculino|1969-06-29|peixe|frio|Cerveja|Ler livros"
4|"10143432|2020-03-22|Masculino|1953-05-27|tartaruga|quente|Vinho|Dormir"
0|"10141671|2020-01-06|Feminino|1963-12-28|gato|quente|refrigerante|Aprender algo novo"
1|"10142969|2020-01-06|Feminino|1956-04-03|gato|moderado|Vinho|Escutar música"
2|"10143233|2020-01-06|Masculino|1987-02-25|tartaruga|quente|Cerveja|Pintar quadros"
0|"10141510|2020-03-28|Masculino|1978-11-29|gato|frio|Água|Assistir TV"
1|"10141519|2020-03-28|Feminino|1966-05-18|gato|frio|Chá|Escutar música"
2|"10141858|2020-03-28|Feminino|1977-05-26|cachorro|quente|Cerveja|Praticar esporte"
3|"10142362|2020-03-28|Masculino|1973-02-27|tartaruga|quente|Vinho|Aprender algo novo"
4|"10142757|2020-03-28|Masculino|1981-08-07|cachorro|moderado|Café|Aprender algo novo"
5|"10143429|2020-03-28|Masculino|1959-01-31|tartaruga|frio|Água|Assistir TV"
6|"10143461|2020-03-28|Masculino|1968-05-13|tartaruga|moderado|Café|Ler livros"
7|"10143481|2020-03-28|Masculino|1973-04-11|tartaruga|frio|Água|Assistir TV"
8|"10143493|2020-03-28|Masculino|1992-03-10|gato|frio|Chá|Ler livros"
9|"10143524|2020-03-28|Masculino|1989-04-26|gato|quente|Água|Aprender algo novo"
10|"10143559|2020-03-28|Feminino|1996-02-15|gato|frio|Vinho|Dormir"
0|"10141979|2020-07-18|Feminino|1977-03-13|gato|quente|refrigerante|Dormir"
1|"10142000|2020-07-18|Feminino|1980-06-28|tartaruga|frio|Vinho|Escrever"
2|"10142017|2020-07-18|Masculino|1966-04-28|cachorro|frio|Água|Escutar música"
3|"10142276|2020-07-18|Masculino|1955-10-28|tartaruga|frio|Cerveja|Escrever"
4|"10142413|2020-07-18|Masculino|1980-08-01|cachorro|frio|Cerveja|Assistir TV"
5|"10142476|2020-07-18|Masculino|1974-11-15|gato|frio|Cerveja|Escrever"
6|"10142518|2020-07-18|Masculino|1966-12-21|gato|moderado|refrigerante|Escutar música"
7|"10142563|2020-07-18|Masculino|1962-11-24|cachorro|quente|Cerveja|Aprender algo novo"
8|"10143093|2020-07-18|Masculino|1991-01-17|gato|moderado|Café|Assistir TV"
9|"10143469|2020-07-18|Feminino|1989-04-27|gato|quente|Água|Pintar quadros"
